Date/Time,Temperature (*C),,
01/21/07 07:45:00.0,28.048,,
01/21/07 08:00:00.0,28.048,,
01/21/07 08:15:00.0,28.097,,
01/21/07 08:30:00.0,28.147,,
01/21/07 08:45:00.0,28.171,,
01/21/07 09:00:00.0,28.122,,
01/21/07 09:15:00.0,28.122,,
01/21/07 09:30:00.0,28.048,,
01/21/07 09:45:00.0,27.998,,
01/21/07 10:00:00.0,28.023,,
01/21/07 10:15:00.0,28.072,,
01/21/07 10:30:00.0,28.097,,
01/21/07 10:45:00.0,28.147,,
01/21/07 11:00:00.0,28.196,,
01/21/07 11:15:00.0,28.345,,
01/21/07 11:30:00.0,28.245,,
01/21/07 11:45:00.0,28.295,,
01/21/07 12:00:00.0,28.32,,
01/21/07 12:15:00.0,28.147,,
01/21/07 12:30:00.0,28.048,,
01/21/07 12:45:00.0,28.32,,
01/21/07 13:00:00.0,28.147,,
01/21/07 13:15:00.0,28.122,,
01/21/07 13:30:00.0,28.147,,
01/21/07 13:45:00.0,28.171,,
01/21/07 14:00:00.0,28.171,,
01/21/07 14:15:00.0,28.171,,
01/21/07 14:30:00.0,28.122,,
01/21/07 14:45:00.0,28.122,,
01/21/07 15:00:00.0,28.122,,
01/21/07 15:15:00.0,28.072,,
01/21/07 15:30:00.0,28.048,,
01/21/07 15:45:00.0,28.048,,
01/21/07 16:00:00.0,28.023,,
01/21/07 16:15:00.0,28.023,,
01/21/07 16:30:00.0,28.048,,
01/21/07 16:45:00.0,28.072,,
01/21/07 17:00:00.0,28.072,,
01/21/07 17:15:00.0,28.048,,
01/21/07 17:30:00.0,28.023,,
01/21/07 17:45:00.0,28.023,,
01/21/07 18:00:00.0,27.998,,
01/21/07 18:15:00.0,27.974,,
01/21/07 18:30:00.0,27.974,,
01/21/07 18:45:00.0,27.974,,
01/21/07 19:00:00.0,27.974,,
01/21/07 19:15:00.0,27.974,,
01/21/07 19:30:00.0,27.949,,
01/21/07 19:45:00.0,27.949,,
01/21/07 20:00:00.0,27.974,,
01/21/07 20:15:00.0,27.974,,
01/21/07 20:30:00.0,27.974,,
01/21/07 20:45:00.0,27.998,,
01/21/07 21:00:00.0,27.998,,
01/21/07 21:15:00.0,27.998,,
01/21/07 21:30:00.0,27.998,,
01/21/07 21:45:00.0,27.998,,
01/21/07 22:00:00.0,27.998,,
01/21/07 22:15:00.0,27.998,,
01/21/07 22:30:00.0,27.998,,
01/21/07 22:45:00.0,27.998,,
01/21/07 23:00:00.0,27.998,,
01/21/07 23:15:00.0,27.974,,
01/21/07 23:30:00.0,27.974,,
01/21/07 23:45:00.0,27.974,,
01/22/07 00:00:00.0,27.974,,
01/22/07 00:15:00.0,27.974,,
01/22/07 00:30:00.0,27.974,,
01/22/07 00:45:00.0,27.974,,
01/22/07 01:00:00.0,27.974,,
01/22/07 01:15:00.0,27.974,,
01/22/07 01:30:00.0,27.974,,
01/22/07 01:45:00.0,27.974,,
01/22/07 02:00:00.0,27.949,,
01/22/07 02:15:00.0,27.924,,
01/22/07 02:30:00.0,27.924,,
01/22/07 02:45:00.0,27.924,,
01/22/07 03:00:00.0,27.924,,
01/22/07 03:15:00.0,27.949,,
01/22/07 03:30:00.0,27.949,,
01/22/07 03:45:00.0,27.974,,
01/22/07 04:00:00.0,27.974,,
01/22/07 04:15:00.0,27.974,,
01/22/07 04:30:00.0,27.974,,
01/22/07 04:45:00.0,27.974,,
01/22/07 05:00:00.0,27.974,,
01/22/07 05:15:00.0,27.974,,
01/22/07 05:30:00.0,27.974,,
01/22/07 05:45:00.0,27.974,,
01/22/07 06:00:00.0,27.974,,
01/22/07 06:15:00.0,27.998,,
01/22/07 06:30:00.0,27.998,,
01/22/07 06:45:00.0,28.023,,
01/22/07 07:00:00.0,28.023,,
01/22/07 07:15:00.0,28.048,,
01/22/07 07:30:00.0,28.072,,
01/22/07 07:45:00.0,28.122,,
01/22/07 08:00:00.0,28.147,,
01/22/07 08:15:00.0,28.196,,
01/22/07 08:30:00.0,28.196,,
01/22/07 08:45:00.0,28.493,,
01/22/07 09:00:00.0,28.245,,
01/22/07 09:15:00.0,28.444,,
01/22/07 09:30:00.0,28.468,,
01/22/07 09:45:00.0,28.468,,
01/22/07 10:00:00.0,28.593,,
01/22/07 10:15:00.0,28.543,,
01/22/07 10:30:00.0,28.468,,
01/22/07 10:45:00.0,28.717,,
01/22/07 11:00:00.0,28.543,,
01/22/07 11:15:00.0,28.667,,
01/22/07 11:30:00.0,28.667,,
01/22/07 11:45:00.0,28.593,,
01/22/07 12:00:00.0,28.717,,
01/22/07 12:15:00.0,28.742,,
01/22/07 12:30:00.0,28.692,,
01/22/07 12:45:00.0,28.617,,
01/22/07 13:00:00.0,28.791,,
01/22/07 13:15:00.0,28.642,,
01/22/07 13:30:00.0,28.444,,
01/22/07 13:45:00.0,28.493,,
01/22/07 14:00:00.0,28.742,,
01/22/07 14:15:00.0,28.667,,
01/22/07 14:30:00.0,28.642,,
01/22/07 14:45:00.0,28.593,,
01/22/07 15:00:00.0,28.617,,
01/22/07 15:15:00.0,28.518,,
01/22/07 15:30:00.0,28.493,,
01/22/07 15:45:00.0,28.468,,
01/22/07 16:00:00.0,28.369,,
01/22/07 16:15:00.0,28.493,,
01/22/07 16:30:00.0,28.32,,
01/22/07 16:45:00.0,28.27,,
01/22/07 17:00:00.0,28.27,,
01/22/07 17:15:00.0,28.245,,
01/22/07 17:30:00.0,28.221,,
01/22/07 17:45:00.0,28.221,,
01/22/07 18:00:00.0,28.221,,
01/22/07 18:15:00.0,28.196,,
01/22/07 18:30:00.0,28.196,,
01/22/07 18:45:00.0,28.171,,
01/22/07 19:00:00.0,28.171,,
01/22/07 19:15:00.0,28.171,,
01/22/07 19:30:00.0,28.147,,
01/22/07 19:45:00.0,28.147,,
01/22/07 20:00:00.0,28.122,,
01/22/07 20:15:00.0,28.122,,
01/22/07 20:30:00.0,28.122,,
01/22/07 20:45:00.0,28.122,,
01/22/07 21:00:00.0,28.097,,
01/22/07 21:15:00.0,28.072,,
01/22/07 21:30:00.0,28.072,,
01/22/07 21:45:00.0,28.072,,
01/22/07 22:00:00.0,28.097,,
01/22/07 22:15:00.0,28.122,,
01/22/07 22:30:00.0,28.122,,
01/22/07 22:45:00.0,28.122,,
01/22/07 23:00:00.0,28.122,,
01/22/07 23:15:00.0,28.072,,
01/22/07 23:30:00.0,28.072,,
01/22/07 23:45:00.0,28.048,,
01/23/07 00:00:00.0,28.072,,
01/23/07 00:15:00.0,28.097,,
01/23/07 00:30:00.0,28.072,,
01/23/07 00:45:00.0,28.072,,
01/23/07 01:00:00.0,28.072,,
01/23/07 01:15:00.0,28.048,,
01/23/07 01:30:00.0,28.048,,
01/23/07 01:45:00.0,28.072,,
01/23/07 02:00:00.0,28.072,,
01/23/07 02:15:00.0,28.072,,
01/23/07 02:30:00.0,28.072,,
01/23/07 02:45:00.0,28.048,,
01/23/07 03:00:00.0,28.023,,
01/23/07 03:15:00.0,28.023,,
01/23/07 03:30:00.0,28.023,,
01/23/07 03:45:00.0,28.023,,
01/23/07 04:00:00.0,28.023,,
01/23/07 04:15:00.0,28.023,,
01/23/07 04:30:00.0,28.023,,
01/23/07 04:45:00.0,28.023,,
01/23/07 05:00:00.0,28.023,,
01/23/07 05:15:00.0,28.023,,
01/23/07 05:30:00.0,28.023,,
01/23/07 05:45:00.0,28.023,,
01/23/07 06:00:00.0,27.998,,
01/23/07 06:15:00.0,27.998,,
01/23/07 06:30:00.0,27.974,,
01/23/07 06:45:00.0,27.974,,
01/23/07 07:00:00.0,27.974,,
01/23/07 07:15:00.0,27.974,,
01/23/07 07:30:00.0,28.048,,
01/23/07 07:45:00.0,28.072,,
01/23/07 08:00:00.0,28.072,,
01/23/07 08:15:00.0,28.048,,
01/23/07 08:30:00.0,28.048,,
01/23/07 08:45:00.0,28.072,,
01/23/07 09:00:00.0,28.097,,
01/23/07 09:15:00.0,28.097,,
01/23/07 09:30:00.0,28.122,,
01/23/07 09:45:00.0,28.147,,
01/23/07 10:00:00.0,28.171,,
01/23/07 10:15:00.0,28.196,,
01/23/07 10:30:00.0,28.221,,
01/23/07 10:45:00.0,28.295,,
01/23/07 11:00:00.0,28.245,,
01/23/07 11:15:00.0,28.27,,
01/23/07 11:30:00.0,28.493,,
01/23/07 11:45:00.0,28.493,,
01/23/07 12:00:00.0,28.593,,
01/23/07 12:15:00.0,28.642,,
01/23/07 12:30:00.0,28.692,,
01/23/07 12:45:00.0,28.593,,
01/23/07 13:00:00.0,28.568,,
01/23/07 13:15:00.0,28.593,,
01/23/07 13:30:00.0,28.568,,
01/23/07 13:45:00.0,28.568,,
01/23/07 14:00:00.0,28.394,,
01/23/07 14:15:00.0,28.444,,
01/23/07 14:30:00.0,28.518,,
01/23/07 14:45:00.0,28.468,,
01/23/07 15:00:00.0,28.394,,
01/23/07 15:15:00.0,28.394,,
01/23/07 15:30:00.0,28.419,,
01/23/07 15:45:00.0,28.369,,
01/23/07 16:00:00.0,28.345,,
01/23/07 16:15:00.0,28.444,,
01/23/07 16:30:00.0,28.394,,
01/23/07 16:45:00.0,28.295,,
01/23/07 17:00:00.0,28.345,,
01/23/07 17:15:00.0,28.32,,
01/23/07 17:30:00.0,28.32,,
01/23/07 17:45:00.0,28.295,,
01/23/07 18:00:00.0,28.295,,
01/23/07 18:15:00.0,28.27,,
01/23/07 18:30:00.0,28.27,,
01/23/07 18:45:00.0,28.245,,
01/23/07 19:00:00.0,28.27,,
01/23/07 19:15:00.0,28.27,,
01/23/07 19:30:00.0,28.27,,
01/23/07 19:45:00.0,28.27,,
01/23/07 20:00:00.0,28.295,,
01/23/07 20:15:00.0,28.27,,
01/23/07 20:30:00.0,28.27,,
01/23/07 20:45:00.0,28.27,,
01/23/07 21:00:00.0,28.27,,
01/23/07 21:15:00.0,28.27,,
01/23/07 21:30:00.0,28.295,,
01/23/07 21:45:00.0,28.295,,
01/23/07 22:00:00.0,28.295,,
01/23/07 22:15:00.0,28.295,,
01/23/07 22:30:00.0,28.245,,
01/23/07 22:45:00.0,28.27,,
01/23/07 23:00:00.0,28.27,,
01/23/07 23:15:00.0,28.245,,
01/23/07 23:30:00.0,28.245,,
01/23/07 23:45:00.0,28.245,,
01/24/07 00:00:00.0,28.245,,
01/24/07 00:15:00.0,28.245,,
01/24/07 00:30:00.0,28.245,,
01/24/07 00:45:00.0,28.245,,
01/24/07 01:00:00.0,28.221,,
01/24/07 01:15:00.0,28.221,,
01/24/07 01:30:00.0,28.221,,
01/24/07 01:45:00.0,28.221,,
01/24/07 02:00:00.0,28.221,,
01/24/07 02:15:00.0,28.221,,
01/24/07 02:30:00.0,28.245,,
01/24/07 02:45:00.0,28.245,,
01/24/07 03:00:00.0,28.245,,
01/24/07 03:15:00.0,28.221,,
01/24/07 03:30:00.0,28.221,,
01/24/07 03:45:00.0,28.221,,
01/24/07 04:00:00.0,28.221,,
01/24/07 04:15:00.0,28.221,,
01/24/07 04:30:00.0,28.221,,
01/24/07 04:45:00.0,28.221,,
01/24/07 05:00:00.0,28.221,,
01/24/07 05:15:00.0,28.221,,
01/24/07 05:30:00.0,28.221,,
01/24/07 05:45:00.0,28.221,,
01/24/07 06:00:00.0,28.221,,
01/24/07 06:15:00.0,28.245,,
01/24/07 06:30:00.0,28.245,,
01/24/07 06:45:00.0,28.245,,
01/24/07 07:00:00.0,28.345,,
01/24/07 07:15:00.0,28.345,,
01/24/07 07:30:00.0,28.345,,
01/24/07 07:45:00.0,28.444,,
01/24/07 08:00:00.0,28.295,,
01/24/07 08:15:00.0,28.27,,
01/24/07 08:30:00.0,28.593,,
01/24/07 08:45:00.0,28.419,,
01/24/07 09:00:00.0,28.543,,
01/24/07 09:15:00.0,28.444,,
01/24/07 09:30:00.0,28.468,,
01/24/07 09:45:00.0,28.493,,
01/24/07 10:00:00.0,28.617,,
01/24/07 10:15:00.0,28.543,,
01/24/07 10:30:00.0,28.642,,
01/24/07 10:45:00.0,28.617,,
01/24/07 11:00:00.0,28.642,,
01/24/07 11:15:00.0,28.419,,
01/24/07 11:30:00.0,28.221,,
01/24/07 11:45:00.0,28.568,,
01/24/07 12:00:00.0,28.493,,
01/24/07 12:15:00.0,28.221,,
01/24/07 12:30:00.0,28.27,,
01/24/07 12:45:00.0,28.345,,
01/24/07 13:00:00.0,28.345,,
01/24/07 13:15:00.0,28.791,,
01/24/07 13:30:00.0,28.717,,
01/24/07 13:45:00.0,28.444,,
01/24/07 14:00:00.0,28.543,,
01/24/07 14:15:00.0,28.419,,
01/24/07 14:30:00.0,28.518,,
01/24/07 14:45:00.0,28.518,,
01/24/07 15:00:00.0,28.444,,
01/24/07 15:15:00.0,28.32,,
01/24/07 15:30:00.0,28.221,,
01/24/07 15:45:00.0,28.32,,
01/24/07 16:00:00.0,28.27,,
01/24/07 16:15:00.0,28.493,,
01/24/07 16:30:00.0,28.369,,
01/24/07 16:45:00.0,28.369,,
01/24/07 17:00:00.0,28.369,,
01/24/07 17:15:00.0,28.32,,
01/24/07 17:30:00.0,28.32,,
01/24/07 17:45:00.0,28.32,,
01/24/07 18:00:00.0,28.32,,
01/24/07 18:15:00.0,28.32,,
01/24/07 18:30:00.0,28.295,,
01/24/07 18:45:00.0,28.295,,
01/24/07 19:00:00.0,28.295,,
01/24/07 19:15:00.0,28.295,,
01/24/07 19:30:00.0,28.295,,
01/24/07 19:45:00.0,28.295,,
01/24/07 20:00:00.0,28.27,,
01/24/07 20:15:00.0,28.27,,
01/24/07 20:30:00.0,28.27,,
01/24/07 20:45:00.0,28.27,,
01/24/07 21:00:00.0,28.27,,
01/24/07 21:15:00.0,28.27,,
01/24/07 21:30:00.0,28.27,,
01/24/07 21:45:00.0,28.27,,
01/24/07 22:00:00.0,28.27,,
01/24/07 22:15:00.0,28.27,,
01/24/07 22:30:00.0,28.27,,
01/24/07 22:45:00.0,28.245,,
01/24/07 23:00:00.0,28.245,,
01/24/07 23:15:00.0,28.245,,
01/24/07 23:30:00.0,28.245,,
01/24/07 23:45:00.0,28.245,,
01/25/07 00:00:00.0,28.245,,
01/25/07 00:15:00.0,28.221,,
01/25/07 00:30:00.0,28.196,,
01/25/07 00:45:00.0,28.196,,
01/25/07 01:00:00.0,28.196,,
01/25/07 01:15:00.0,28.196,,
01/25/07 01:30:00.0,28.196,,
01/25/07 01:45:00.0,28.196,,
01/25/07 02:00:00.0,28.196,,
01/25/07 02:15:00.0,28.196,,
01/25/07 02:30:00.0,28.196,,
01/25/07 02:45:00.0,28.196,,
01/25/07 03:00:00.0,28.196,,
01/25/07 03:15:00.0,28.196,,
01/25/07 03:30:00.0,28.196,,
01/25/07 03:45:00.0,28.196,,
01/25/07 04:00:00.0,28.196,,
01/25/07 04:15:00.0,28.196,,
01/25/07 04:30:00.0,28.171,,
01/25/07 04:45:00.0,28.171,,
01/25/07 05:00:00.0,28.171,,
01/25/07 05:15:00.0,28.171,,
01/25/07 05:30:00.0,28.171,,
01/25/07 05:45:00.0,28.171,,
01/25/07 06:00:00.0,28.196,,
01/25/07 06:15:00.0,28.171,,
01/25/07 06:30:00.0,28.171,,
01/25/07 06:45:00.0,28.196,,
01/25/07 07:00:00.0,28.221,,
01/25/07 07:15:00.0,28.245,,
01/25/07 07:30:00.0,28.27,,
01/25/07 07:45:00.0,28.27,,
01/25/07 08:00:00.0,28.295,,
01/25/07 08:15:00.0,28.27,,
01/25/07 08:30:00.0,28.196,,
01/25/07 08:45:00.0,28.147,,
01/25/07 09:00:00.0,28.171,,
01/25/07 09:15:00.0,28.171,,
01/25/07 09:30:00.0,28.221,,
01/25/07 09:45:00.0,28.27,,
01/25/07 10:00:00.0,28.32,,
01/25/07 10:15:00.0,28.27,,
01/25/07 10:30:00.0,28.345,,
01/25/07 10:45:00.0,28.419,,
01/25/07 11:00:00.0,28.369,,
01/25/07 11:15:00.0,28.419,,
01/25/07 11:30:00.0,28.32,,
01/25/07 11:45:00.0,28.345,,
01/25/07 12:00:00.0,28.493,,
01/25/07 12:15:00.0,28.468,,
01/25/07 12:30:00.0,28.369,,
01/25/07 12:45:00.0,28.419,,
01/25/07 13:00:00.0,28.345,,
01/25/07 13:15:00.0,28.444,,
01/25/07 13:30:00.0,28.568,,
01/25/07 13:45:00.0,28.617,,
01/25/07 14:00:00.0,28.444,,
01/25/07 14:15:00.0,28.468,,
01/25/07 14:30:00.0,28.493,,
01/25/07 14:45:00.0,28.444,,
01/25/07 15:00:00.0,28.369,,
01/25/07 15:15:00.0,28.369,,
01/25/07 15:30:00.0,28.419,,
01/25/07 15:45:00.0,28.444,,
01/25/07 16:00:00.0,28.394,,
01/25/07 16:15:00.0,28.419,,
01/25/07 16:30:00.0,28.32,,
01/25/07 16:45:00.0,28.32,,
01/25/07 17:00:00.0,28.369,,
01/25/07 17:15:00.0,28.32,,
01/25/07 17:30:00.0,28.245,,
01/25/07 17:45:00.0,28.221,,
01/25/07 18:00:00.0,28.196,,
01/25/07 18:15:00.0,28.196,,
01/25/07 18:30:00.0,28.171,,
01/25/07 18:45:00.0,28.171,,
01/25/07 19:00:00.0,28.147,,
01/25/07 19:15:00.0,28.147,,
01/25/07 19:30:00.0,28.147,,
01/25/07 19:45:00.0,28.122,,
01/25/07 20:00:00.0,28.122,,
01/25/07 20:15:00.0,28.122,,
01/25/07 20:30:00.0,28.122,,
01/25/07 20:45:00.0,28.147,,
01/25/07 21:00:00.0,28.147,,
01/25/07 21:15:00.0,28.147,,
01/25/07 21:30:00.0,28.122,,
01/25/07 21:45:00.0,28.122,,
01/25/07 22:00:00.0,28.122,,
01/25/07 22:15:00.0,28.122,,
01/25/07 22:30:00.0,28.122,,
01/25/07 22:45:00.0,28.097,,
01/25/07 23:00:00.0,28.097,,
01/25/07 23:15:00.0,28.097,,
01/25/07 23:30:00.0,28.097,,
01/25/07 23:45:00.0,28.097,,
01/26/07 00:00:00.0,28.122,,
01/26/07 00:15:00.0,28.122,,
01/26/07 00:30:00.0,28.097,,
01/26/07 00:45:00.0,28.097,,
01/26/07 01:00:00.0,28.072,,
01/26/07 01:15:00.0,28.072,,
01/26/07 01:30:00.0,28.072,,
01/26/07 01:45:00.0,28.048,,
01/26/07 02:00:00.0,28.048,,
01/26/07 02:15:00.0,28.048,,
01/26/07 02:30:00.0,28.048,,
01/26/07 02:45:00.0,28.023,,
01/26/07 03:00:00.0,27.998,,
01/26/07 03:15:00.0,27.949,,
01/26/07 03:30:00.0,27.949,,
01/26/07 03:45:00.0,27.949,,
01/26/07 04:00:00.0,27.949,,
01/26/07 04:15:00.0,27.949,,
01/26/07 04:30:00.0,27.949,,
01/26/07 04:45:00.0,27.949,,
01/26/07 05:00:00.0,27.949,,
01/26/07 05:15:00.0,27.949,,
01/26/07 05:30:00.0,27.949,,
01/26/07 05:45:00.0,27.949,,
01/26/07 06:00:00.0,27.949,,
01/26/07 06:15:00.0,27.949,,
01/26/07 06:30:00.0,27.949,,
01/26/07 06:45:00.0,27.974,,
01/26/07 07:00:00.0,27.998,,
01/26/07 07:15:00.0,28.097,,
01/26/07 07:30:00.0,28.097,,
01/26/07 07:45:00.0,28.122,,
01/26/07 08:00:00.0,28.221,,
01/26/07 08:15:00.0,28.27,,
01/26/07 08:30:00.0,28.295,,
01/26/07 08:45:00.0,28.345,,
01/26/07 09:00:00.0,28.444,,
01/26/07 09:15:00.0,28.468,,
01/26/07 09:30:00.0,28.419,,
01/26/07 09:45:00.0,28.518,,
01/26/07 10:00:00.0,28.593,,
01/26/07 10:15:00.0,28.419,,
01/26/07 10:30:00.0,28.742,,
01/26/07 10:45:00.0,28.766,,
01/26/07 11:00:00.0,28.816,,
01/26/07 11:15:00.0,28.394,,
01/26/07 11:30:00.0,28.617,,
01/26/07 11:45:00.0,28.617,,
01/26/07 12:00:00.0,28.717,,
01/26/07 12:15:00.0,28.345,,
01/26/07 12:30:00.0,28.518,,
01/26/07 12:45:00.0,28.543,,
01/26/07 13:00:00.0,28.394,,
01/26/07 13:15:00.0,28.518,,
01/26/07 13:30:00.0,28.518,,
01/26/07 13:45:00.0,28.543,,
01/26/07 14:00:00.0,28.444,,
01/26/07 14:15:00.0,28.345,,
01/26/07 14:30:00.0,28.468,,
01/26/07 14:45:00.0,28.394,,
01/26/07 15:00:00.0,28.419,,
